"REGION","SURROGATE","SURROGATE CODE","DATA SHAPEFILE","DATA ATTRIBUTE","WEIGHT SHAPEFILE","WEIGHT ATTRIBUTE","WEIGHT FUNCTION","FILTER FUNCTION","MERGE FUNCTION","SECONDARY SURROGATE","TERTIARY SURROGATE","QUARTERNARY SURROGATE","DETAILS","COMMENTS"
"USA","Census Tract Population",1,"cty_pophu2k_revised","FIPSSTCO","pophu_bg2010","POP2010",,,,,,,"Total population from Census 2010 blocks",
"USA","Population",100,"cty_pophu2k_revised","FIPSSTCO","pophu_bg2010","POP2010",,,,,,,"Total population from Census 2010 blocks",
"USA","Population",9806,"cty_pophu2k_revised","FIPSSTCO","pophu_bg2010","POP2010",,,,,,,"Total population from Census 2010 blocks",
"USA","Housing",110,"cty_pophu2k_revised","FIPSSTCO","pophu_bg2010","HU2010",,,,"Population",,,"Total Housing Units from Census 2010",
"USA","Urban Population",120,"cty_pophu2k_revised","FIPSSTCO","pophu_bg2010","URBAN",,,,"Population",,,"Total urban population from Census 2010",
"USA","Rural Population",130,"cty_pophu2k_revised","FIPSSTCO","pophu_bg2010","RURAL",,,,"Population",,,"Total rural population from Census 2010",
"USA","Urban Housing",131,"cty_pophu2k_revised","FIPSSTCO","pophu_bg2010","NONE",,"AREA_CODE=1",,"Housing","Population","Land",,"Housing unit density assigned to Census block groups 2010; Urban defined as Census block groups with density >= 1000 people/mi2"
"USA","Suburban Housing",132,"cty_pophu2k_revised","FIPSSTCO","pophu_bg2010","NONE",,"AREA_CODE=2",,"Housing","Population","Land",,"Housing unit density assigned to Census block groups 2010; Suburban defined as Census block groups with density >=125 and <1000 people/mi2"
"USA","Exurban Housing",133,"cty_pophu2k_revised","FIPSSTCO","pophu_bg2010","NONE",,"AREA_CODE=3",,"Housing","Population","Land",,"Housing unit density assigned to Census block groups 2010; Exurban defined as Census block groups with density >=6 and < 125 people/mi2"
"USA","Rural Housing",134,"cty_pophu2k_revised","FIPSSTCO","pophu_bg2010","NONE",,"AREA_CODE=4",,"Housing","Population","Land",,"Housing unit density assigned to Census block groups 2010; Rural defined as Census block groups with density < 6 people/mi2"
"USA","Housing Change",137,"cty_pophu2k_revised","FIPSSTCO","pophu_bg2010","HUCH1000",,,,"Housing","Population","Land","Housing change from 2000 to 2010 census blocks",
"USA","Housing Change and Population",140,"cty_pophu2k_revised","FIPSSTCO",,,,,"0.5*Housing Change+0.5*Population","Population",,,"Combination of the change in housing between 2000 and 2010 and year 2010 population",
"USA","Residential Heating - Natural Gas",150,"cty_pophu2k_revised","FIPSSTCO","heating_fuels_acs0510_c2010","UTIL_GAS",,,,"Housing",,,"Number of Housing Units using Utility Gas for primary heating: ACS 5-year 2010 survey data",
"USA","Residential Heating - Wood",160,"cty_pophu2k_revised","FIPSSTCO","heating_fuels_acs0510_c2010","WOOD",,,,"Housing",,,"Number of Housing Units using Wood for primary heating: ACS 5-year 2010 survey data",
"USA","0.5 Residential Heating - Wood plus 0.5 Low Intensity Residential",165,"county_pophu02","FIPSSTCO",,,,,"0.5*Residential Heating - Wood+0.5*Low Intensity Residential","Population","Land",,"Combination of 1/2 Residential Heating - Wood and 1/2 Low Intensity Residential",
